station,time,amount
บางซื่อ,2017-01,407394
กำแพงเพชร,2017-01,127461
สวนจตุจักร,2017-01,568661
พหลโยธิน,2017-01,522046
ลาดพร้าว,2017-01,514137
รัชดาภิเษก,2017-01,147377
สุทธิสาร,2017-01,382200
ห้วยขวาง,2017-01,529279
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-01,576084
พระราม 9,2017-01,761330
เพชรบุรี,2017-01,625019
สุขุมวิท,2017-01,1177911
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-01,272170
คลองเตย,2017-01,69947
ลุมพินี,2017-01,348201
สีลม,2017-01,653559
สามย่าน,2017-01,313410
หัวลำโพง,2017-01,484775
บางซื่อ,2017-02,393804
กำแพงเพชร,2017-02,126835
สวนจตุจักร,2017-02,552833
พหลโยธิน,2017-02,504924
ลาดพร้าว,2017-02,494548
รัชดาภิเษก,2017-02,142665
สุทธิสาร,2017-02,370355
ห้วยขวาง,2017-02,513750
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-02,560368
พระราม 9,2017-02,742701
เพชรบุรี,2017-02,622913
สุขุมวิท,2017-02,1172343
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-02,420653
คลองเตย,2017-02,70363
ลุมพินี,2017-02,329321
สีลม,2017-02,619227
สามย่าน,2017-02,307130
หัวลำโพง,2017-02,452491
บางซื่อ,2017-03,459304
กำแพงเพชร,2017-03,132333
สวนจตุจักร,2017-03,641153
พหลโยธิน,2017-03,574090
ลาดพร้าว,2017-03,567285
รัชดาภิเษก,2017-03,165562
สุทธิสาร,2017-03,417631
ห้วยขวาง,2017-03,579216
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-03,648184
พระราม 9,2017-03,861486
เพชรบุรี,2017-03,703533
สุขุมวิท,2017-03,1337877
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-03,470661
คลองเตย,2017-03,79125
ลุมพินี,2017-03,379223
สีลม,2017-03,701959
สามย่าน,2017-03,368727
หัวลำโพง,2017-03,473740
บางซื่อ,2017-04,387952
กำแพงเพชร,2017-04,128775
สวนจตุจักร,2017-04,561960
พหลโยธิน,2017-04,502383
ลาดพร้าว,2017-04,471926
รัชดาภิเษก,2017-04,131795
สุทธิสาร,2017-04,335416
ห้วยขวาง,2017-04,478380
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-04,538940
พระราม 9,2017-04,727820
เพชรบุรี,2017-04,568002
สุขุมวิท,2017-04,1108561
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-04,464945
คลองเตย,2017-04,63034
ลุมพินี,2017-04,290454
สีลม,2017-04,584165
สามย่าน,2017-04,282818
หัวลำโพง,2017-04,409203
บางซื่อ,2017-05,429761
กำแพงเพชร,2017-05,107238
สวนจตุจักร,2017-05,813812
พหลโยธิน,2017-05,738360
ลาดพร้าว,2017-05,797474
รัชดาภิเษก,2017-05,235920
สุทธิสาร,2017-05,613388
ห้วยขวาง,2017-05,779170
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-05,881666
พระราม 9,2017-05,1193982
เพชรบุรี,2017-05,974954
สุขุมวิท,2017-05,1789126
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-05,513012
คลองเตย,2017-05,112320
ลุมพินี,2017-05,556312
สีลม,2017-05,967648
สามย่าน,2017-05,451870
หัวลำโพง,2017-05,580946
บางซื่อ,2017-06,463511
กำแพงเพชร,2017-06,121473
สวนจตุจักร,2017-06,603928
พหลโยธิน,2017-06,555900
ลาดพร้าว,2017-06,552532
รัชดาภิเษก,2017-06,163650
สุทธิสาร,2017-06,410597
ห้วยขวาง,2017-06,550502
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-06,643961
พระราม 9,2017-06,838155
เพชรบุรี,2017-06,648110
สุขุมวิท,2017-06,1280862
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-06,418729
คลองเตย,2017-06,74233
ลุมพินี,2017-06,361466
สีลม,2017-06,657801
สามย่าน,2017-06,307426
หัวลำโพง,2017-06,424202
บางซื่อ,2017-07,456940
กำแพงเพชร,2017-07,134978
สวนจตุจักร,2017-07,602430
พหลโยธิน,2017-07,552151
ลาดพร้าว,2017-07,536918
รัชดาภิเษก,2017-07,155744
สุทธิสาร,2017-07,392239
ห้วยขวาง,2017-07,539561
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-07,614968
พระราม 9,2017-07,808395
เพชรบุรี,2017-07,631009
สุขุมวิท,2017-07,1220291
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-07,332996
คลองเตย,2017-07,70292
ลุมพินี,2017-07,333586
สีลม,2017-07,620683
สามย่าน,2017-07,303250
หัวลำโพง,2017-07,436779
บางซื่อ,2017-08,302773
กำแพงเพชร,2017-08,132479
สวนจตุจักร,2017-08,665525
พหลโยธิน,2017-08,578694
ลาดพร้าว,2017-08,584035
รัชดาภิเษก,2017-08,169890
สุทธิสาร,2017-08,416081
ห้วยขวาง,2017-08,577043
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-08,668594
พระราม 9,2017-08,858292
เพชรบุรี,2017-08,714151
สุขุมวิท,2017-08,1323064
